Column,ID_cost,costo_per_wp
805,35670,"0,187"
806,39560,"1,33"
807,44574,"0,163"
808,30661,"0,146"
809,44994,"0,169"
810,43168,"0,208"
811,33978,"0,245"
812,27765,"0,285"
813,41731,"0,178"
814,31412,"0,24"
815,44740,"0,188"
816,42617,"0,213"
817,28471,"0,165"
818,39444,"0,209"
819,28469,"0,178"
820,9651,"0,445"
821,43110,"0,187"
822,36654,"0,302"
823,43306,"0,205"
824,38495,"0,213"
825,38265,"0,222"
826,43510,"0,168"
827,37690,"0,149"
828,39272,"0,267"
829,38593,"0,205"
830,39264,"0,213"
831,42618,"0,196"
832,35663,"0,205"
833,43693,"0,208"
834,41586,"0,258"
835,43675,"0,196"
836,41965,"0,18"
837,9649,"0,445"
838,36328,"0,445"
839,44611,"0,182"
840,42489,"0,222"
841,36324,"0,445"
842,29263,"0,45"
843,43839,"0,147"
844,24309,"0,16"
845,41588,"0,213"
846,9637,"0,445"
847,43174,"0,214"
848,43304,"0,165"
849,38416,"0,267"
850,9639,"0,445"
851,43975,
852,43706,"0,245"
853,29253,"0,332"
854,44213,"0,172"
855,39870,"0,178"
856,41735,"0,178"
857,40739,"0,195"
858,41897,"0,239"
859,43803,"0,166"
860,41909,"0,277"
861,44577,"0,149"
862,43559,"0,196"
863,36681,"0,213"
864,44678,"0,149"
865,43597,"0,193"
866,30065,"0,24"
867,43176,"0,16"
868,42695,"0,169"
869,44587,"0,172"
870,41906,"0,327"
871,37159,"0,196"
872,43698,"0,2"
873,44451,"0,18"
874,44405,"0,173"
875,36874,"0,196"
876,35085,"0,157"
877,44215,"0,172"
878,26153,"0,285"
879,43506,"0,172"
880,41891,"0,352"
881,41606,"0,222"
882,41741,"0,267"
883,40610,"0,169"
884,43773,"0,169"
885,43747,"0,235"
886,36862,"0,196"
887,30652,"0,157"
888,41092,"0,196"
889,19143,"0,176"
890,42927,"0,272"
891,37645,"0,173"
892,40421,"0,222"
893,44065,"0,267"
894,29719,"0,168"
895,36346,"0,445"
896,35838,"0,311"
897,44872,"0,181"
898,38494,"0,196"
899,41730,"0,178"
900,42869,"0,173"
901,31713,"0,384"
902,37654,"0,165"
903,42038,"0,205"
904,36352,"0,445"
905,40741,"0,18"
906,32645,"0,213"
907,42630,"0,213"
908,39840,"0,209"
909,44510,"0,158"
910,44867,"0,236"
911,31489,"0,302"
912,44581,"0,255"
913,31528,"0,294"
914,29529,"0,205"
915,38938,"0,213"
916,43360,"0,205"
917,35177,"0,178"
918,44431,"0,182"
919,18969,"0,231"
920,42190,"0,187"
921,43161,"0,146"
922,37754,"0,154"
923,39854,"0,205"
924,43932,"0,166"
